id,tipo,acao,cidade,bairro,dorm,suite,vaga,preco,imobiliaria,data_scrapped
60,Apartamento,Venda,São Luís/MA,Olho D Água,3,1,0,750000,Pereira Feitosa,23/06/2019
61,Apartamento,Venda,São Luís/MA,Calhau,3,3,2,950000,Pereira Feitosa,23/06/2019
62,Casa,Venda,São Luís/MA,Turu,2,2,3,500000,Pereira Feitosa,23/06/2019
63,Casa,Venda,São Luís/MA,Jardim Eldorado,5,5,10,2300000,Pereira Feitosa,23/06/2019
64,Casa,Venda,São Luís/MA,Olho D Água,0,0,0,1400000,Pereira Feitosa,23/06/2019
65,Apartamento,Venda,São Luís/MA,Angelim,2,0,0,115000,Pereira Feitosa,23/06/2019
66,Casa,Venda,São Luís/MA,Ipase,0,0,0,500000,Pereira Feitosa,23/06/2019
67,Casa,Venda,São Luís/MA,Vinhais,2,2,3,450000,Pereira Feitosa,23/06/2019
68,Casa,Venda,São Luís/MA,Ponta do Farol,5,0,5,2500000,Pereira Feitosa,23/06/2019
69,Casa,Venda,São Luís/MA,Recanto Vinhais,3,1,4,450000,Pereira Feitosa,23/06/2019
70,Casa,Venda,São Luís/MA,Ipase,3,1,3,400000,Pereira Feitosa,23/06/2019
71,Casa,Venda,São Luís/MA,Parque Shalon,3,2,4,510000,Pereira Feitosa,23/06/2019
72,Casa,Venda,São Luís/MA,Alto do Calhau,3,2,2,420000,Pereira Feitosa,23/06/2019
73,Casa,Venda,São José de Ribamar/MA,Jardim Aracagy,3,1,0,1500000,Pereira Feitosa,23/06/2019
74,Casa,Venda,Paço do Lumiar/MA,Araçagy,3,1,1,350000,Pereira Feitosa,23/06/2019
75,Casa,Venda,São Luís/MA,João de Deus,2,1,2,250000,Pereira Feitosa,23/06/2019
76,Casa,Venda,São Luís/MA,Olho D Água,8,8,5,14000000,Pereira Feitosa,23/06/2019
77,Casa,Venda,São Luís/MA,Turu,1,1,2,330000,Pereira Feitosa,23/06/2019
78,Casa,Venda,São Luís/MA,Calhau,3,3,6,1500000,Pereira Feitosa,23/06/2019
79,Casa,Venda,São Luís/MA,Olho D Água,4,4,4,1850000,Pereira Feitosa,23/06/2019
80,Casa,Venda,São Luís/MA,João Paulo,3,1,4,1000000,Pereira Feitosa,23/06/2019
81,Apartamento,Venda,São Luís/MA,Jardim Renascença,3,1,1,450000,Pereira Feitosa,23/06/2019
82,Apartamento,Venda,São Luís/MA,Calhau,2,1,1,250000,Pereira Feitosa,23/06/2019
83,Apartamento,Venda,São Luís/MA,Ponta da areia,2,2,0,1100000,Pereira Feitosa,23/06/2019
84,Casa,Venda,São Luís/MA,Alemanha,2,2,0,160000,Pereira Feitosa,23/06/2019
85,Casa,Venda,São Luís/MA,Madre Deus,2,0,0,85000,Pereira Feitosa,23/06/2019
86,Casa,Venda,São José de Ribamar/MA,Araçagy,2,1,3,500000,Pereira Feitosa,23/06/2019
87,Apartamento,Venda,São Luís/MA,Olho D Água,4,4,4,2500000,Pereira Feitosa,23/06/2019
88,Casa,Venda,São Luís/MA,Quintas do Calhau,3,3,2,500000,Pereira Feitosa,23/06/2019
89,Casa,Venda,São José de Ribamar/MA,Araçagy,4,4,8,950000,Pereira Feitosa,23/06/2019
90,Casa,Venda,São Luís/MA,Cohatrac IV,3,1,2,280000,Pereira Feitosa,23/06/2019
91,Apartamento,Venda,São Luís/MA,Jardim Renascença,3,1,2,550000,Pereira Feitosa,23/06/2019
92,Casa,Venda,São José de Ribamar/MA,Jardim Aracagy,2,0,2,280000,Pereira Feitosa,23/06/2019
93,Casa,Venda,São Luís/MA,Alto do Calhau,2,1,4,450000,Pereira Feitosa,23/06/2019
94,Apartamento,Venda,São Luís/MA,Ponta do Farol,4,3,2,850000,Pereira Feitosa,23/06/2019
95,Casa,Venda,São Luís/MA,Cidade Operária,3,1,0,280000,Pereira Feitosa,23/06/2019
96,Casa,Venda,São Luís/MA,Alto do Calhau,2,1,2,400000,Pereira Feitosa,23/06/2019
97,Apartamento,Venda,São Luís/MA,Calhau,2,1,1,260000,Pereira Feitosa,23/06/2019
98,Casa,Venda,São Luís/MA,Parque Athenas,2,2,6,590000,Pereira Feitosa,23/06/2019
99,Casa,Venda,São Luís/MA,Olho D Água,4,4,3,1800000,Pereira Feitosa,23/06/2019
100,Casa,Venda,São Luís/MA,Parque Universitário,4,2,5,500000,Pereira Feitosa,23/06/2019
101,Casa,Venda,São Luís/MA,Parque Aurora,2,1,3,380000,Pereira Feitosa,23/06/2019
102,Casa,Venda,São Luís/MA,Jardim Renascença,3,0,3,800000,Pereira Feitosa,23/06/2019
103,Casa,Venda,São Luís/MA,Calhau,3,3,3,1300000,Pereira Feitosa,23/06/2019
104,Apartamento,Venda,São José de Ribamar/MA,Araçagy,1,1,1,170000,Pereira Feitosa,23/06/2019
105,Casa,Venda,São Luís/MA,Vinhais,3,2,4,420000,Pereira Feitosa,23/06/2019
106,Casa,Venda,São Luís/MA,Centro,3,0,1,180000,Pereira Feitosa,23/06/2019
107,Apartamento,Venda,São Luís/MA,Jardim Renascença,4,2,2,600000,Pereira Feitosa,23/06/2019
108,Casa,Venda,São Luís/MA,Jardim São Francisco,4,1,4,550000,Pereira Feitosa,23/06/2019
109,Apartamento,Venda,São Luís/MA,Jardim São Francisco,3,3,3,1200000,Pereira Feitosa,23/06/2019
110,Casa,Venda,São Luís/MA,Calhau,5,5,4,2800000,Pereira Feitosa,23/06/2019
111,Apartamento,Venda,São Luís/MA,Jardim Renascença,3,3,2,640000,Pereira Feitosa,23/06/2019
112,Casa,Venda,São Luís/MA,COHAB Anil I,5,0,0,395000,Pereira Feitosa,23/06/2019
113,Casa,Venda,São Luís/MA,Olho D Água,4,4,0,2000000,Pereira Feitosa,23/06/2019
114,Apartamento,Venda,São Luís/MA,Jardim Renascença,1,0,0,180000,Pereira Feitosa,23/06/2019
115,Apartamento,Venda,São Luís/MA,Turu,2,1,1,130000,Pereira Feitosa,23/06/2019
116,Casa,Venda,São José de Ribamar/MA,Araçagy,4,0,0,600000,Pereira Feitosa,23/06/2019
117,Casa,Venda,São Luís/MA,Tirirical,3,1,3,320000,Pereira Feitosa,23/06/2019
118,Casa,Venda,São Luís/MA,Calhau,8,0,10,1000000,Pereira Feitosa,23/06/2019
119,Casa,Venda,São José de Ribamar/MA,Araçagy,2,2,2,380000,Pereira Feitosa,23/06/2019
120,Apartamento,Venda,São Luís/MA,Parque Athenas,3,2,2,300000,Pereira Feitosa,23/06/2019
121,Casa,Venda,São Luís/MA,Calhau,2,1,4,980000,Pereira Feitosa,23/06/2019
122,Casa,Venda,São José de Ribamar/MA,Araçagy,5,3,8,1200000,Pereira Feitosa,23/06/2019
123,Casa,Venda,São José de Ribamar/MA,Alto Do Jaguarema,3,1,2,260000,Pereira Feitosa,23/06/2019
124,Casa,Venda,São Luís/MA,Olho D Água,3,3,3,425000,Pereira Feitosa,23/06/2019
125,Casa,Venda,São Luís/MA,Cidade Operária,4,2,5,420000,Pereira Feitosa,23/06/2019
126,Casa,Venda,São Luís/MA,Turu,1,1,2,320000,Pereira Feitosa,23/06/2019
127,Casa,Venda,São José de Ribamar/MA,Araçagy,1,1,4,270000,Pereira Feitosa,23/06/2019
128,Casa,Venda,São Luís/MA,Centro,4,2,0,600000,Pereira Feitosa,23/06/2019
129,Casa,Venda,São Luís/MA,Solar dos Lusitanos,2,1,3,420000,Pereira Feitosa,23/06/2019
130,Casa,Venda,São Luís/MA,Jardim Eldorado,4,4,4,700000,Pereira Feitosa,23/06/2019
131,Casa,Venda,São Luís/MA,Jardim Renascença,4,2,4,600000,Pereira Feitosa,23/06/2019
132,Casa,Venda,São Luís/MA,Centro,3,0,0,180000,Pereira Feitosa,23/06/2019
133,Apartamento,Venda,São Luís/MA,Jardim Renascença,4,2,2,750000,Pereira Feitosa,23/06/2019
134,Casa,Venda,São Luís/MA,Recanto dos Nobres,2,1,4,420000,Pereira Feitosa,23/06/2019
135,Apartamento,Venda,São Luís/MA,Quintas do Calhau,1,1,1,135000,Pereira Feitosa,23/06/2019
136,Casa,Venda,São Luís/MA,Parque Universitário,3,0,2,280000,Pereira Feitosa,23/06/2019
137,Casa,Venda,São Luís/MA,Cohama,5,3,0,480000,Pereira Feitosa,23/06/2019
138,Apartamento,Venda,São Luís/MA,São Marcos,3,3,2,1100000,Pereira Feitosa,23/06/2019
139,Apartamento,Venda,São Luís/MA,São Marcos,4,4,3,1900000,Pereira Feitosa,23/06/2019
140,Apartamento,Venda,São Luís/MA,Renascença,4,4,3,990000,Pereira Feitosa,23/06/2019
141,Casa,Venda,São Luís/MA,Planalto Anil,3,1,0,320000,Pereira Feitosa,23/06/2019
142,Apartamento,Venda,São Luís/MA,Turu,2,0,1,135000,Pereira Feitosa,23/06/2019
143,Casa,Venda,São Luís/MA,Turu,5,2,2,600000,Pereira Feitosa,23/06/2019
144,Apartamento,Venda,São Luís/MA,Anil,2,0,1,160000,Pereira Feitosa,23/06/2019
145,Casa,Venda,São Luís/MA,Centro,3,3,0,350000,Pereira Feitosa,23/06/2019
146,Casa,Venda,São Luís/MA,Cidade Operária,5,4,3,900000,Pereira Feitosa,23/06/2019
147,Casa,Venda,São Luís/MA,COHAB Anil IV,3,1,2,210000,Pereira Feitosa,23/06/2019
148,Apartamento,Venda,São Luís/MA,Anil,1,0,1,160000,Pereira Feitosa,23/06/2019
149,Casa,Venda,São José de Ribamar/MA,Jardim Aracagy,5,4,0,1750000,Pereira Feitosa,23/06/2019
150,Apartamento,Venda,São Luís/MA,Turu,3,1,1,195000,Pereira Feitosa,23/06/2019
151,Casa,Venda,São Luís/MA,Parque Timbiras,2,1,0,390000,Pereira Feitosa,23/06/2019
152,Casa,Venda,São Luís/MA,Quintas do Calhau,6,6,4,2000000,Pereira Feitosa,23/06/2019
153,Apartamento,Venda,São Luís/MA,Jardim Renascença,2,0,1,360000,Pereira Feitosa,23/06/2019
154,Casa,Venda,São Luís/MA,Planalto Vinhais II,4,4,3,680000,Pereira Feitosa,23/06/2019
155,Apartamento,Venda,São Luís/MA,Jardim Renascença,2,1,1,650000,Pereira Feitosa,23/06/2019
156,Apartamento,Venda,São Luís/MA,Jardim São Francisco,2,1,0,550000,Pereira Feitosa,23/06/2019
157,Casa,Venda,São Luís/MA,Planalto Pingão,3,0,0,260000,Pereira Feitosa,23/06/2019
158,Apartamento,Venda,São Luís/MA,Cohafuma,3,0,1,210000,Pereira Feitosa,23/06/2019
159,Casa,Venda,São José de Ribamar/MA,Maiobão,3,1,5,350000,Pereira Feitosa,23/06/2019
160,Casa,Venda,São Luís/MA,Fátima,3,0,1,300000,Pereira Feitosa,23/06/2019
161,Casa,Venda,São Luís/MA,Chácara Brasil,2,2,2,490000,Pereira Feitosa,23/06/2019
162,Apartamento,Venda,São Luís/MA,Calhau,4,2,2,830000,Pereira Feitosa,23/06/2019
163,Apartamento,Venda,São Luís/MA,Calhau,1,0,1,195000,Pereira Feitosa,23/06/2019
164,Apartamento,Venda,São José de Ribamar/MA,Araçagy,2,0,1,205000,Pereira Feitosa,23/06/2019
165,Casa,Venda,São José de Ribamar/MA,Araçagy,3,2,6,800000,Pereira Feitosa,23/06/2019
166,Casa,Venda,São José de Ribamar/MA,Jardim Aracagy,4,2,0,350000,Pereira Feitosa,23/06/2019
167,Apartamento,Venda,São Luís/MA,Parque Shalon,3,1,1,330000,Pereira Feitosa,23/06/2019
168,Casa,Venda,Paço do Lumiar/MA,Araçagy,4,4,8,750000,Pereira Feitosa,23/06/2019
169,Apartamento,Venda,São Luís/MA,Calhau,4,4,4,3500000,Pereira Feitosa,23/06/2019
170,Apartamento,Venda,São Luís/MA,Cohafuma,2,1,1,370000,Pereira Feitosa,23/06/2019
171,Casa,Venda,São Luís/MA,Apeadouro,2,1,3,400000,Pereira Feitosa,23/06/2019
172,Casa,Venda,São Luís/MA,Cohatrac,3,0,0,260000,Pereira Feitosa,23/06/2019
173,Apartamento,Venda,São Luís/MA,Apicum,2,0,1,180000,Pereira Feitosa,23/06/2019
174,Casa,Venda,São José de Ribamar/MA,Renascer,2,2,2,600000,Pereira Feitosa,23/06/2019
175,Casa,Venda,São Luís/MA,Alto do Calhau,3,3,5,380000,Pereira Feitosa,23/06/2019
176,Casa,Venda,São Luís/MA,Cohatrac IV,3,1,3,270000,Pereira Feitosa,23/06/2019
177,Apartamento,Venda,São Luís/MA,Ponta da areia,4,2,0,1250000,Pereira Feitosa,23/06/2019
178,Casa,Venda,São Luís/MA,Jardim Eldorado,3,2,4,350000,Pereira Feitosa,23/06/2019
179,Casa,Venda,São Luís/MA,Olho D Água,3,1,50,1200000,Pereira Feitosa,23/06/2019
180,Casa,Venda,São José de Ribamar/MA,Jardim Aracagy,4,4,0,700000,Pereira Feitosa,23/06/2019
181,Apartamento,Venda,São Luís/MA,Bequimão,2,0,0,90000,Pereira Feitosa,23/06/2019
182,Apartamento,Venda,São Luís/MA,Ponta do Farol,3,3,3,1200000,Pereira Feitosa,23/06/2019
183,Casa,Venda,São Luís/MA,Quintas do Calhau,4,3,0,750000,Pereira Feitosa,23/06/2019
184,Apartamento,Venda,São Luís/MA,Olho D Água,2,1,2,400000,Pereira Feitosa,23/06/2019
185,Casa,Venda,Paço do Lumiar/MA,Araçagy,2,2,0,1100000,Pereira Feitosa,23/06/2019
186,Casa,Venda,São Luís/MA,Monte Castelo,3,1,4,300000,Pereira Feitosa,23/06/2019
187,Casa,Venda,São José de Ribamar/MA,Araçagy,4,2,10,750000,Pereira Feitosa,23/06/2019
188,Apartamento,Venda,São Luís/MA,Turu,2,0,1,130000,Pereira Feitosa,23/06/2019
189,Casa,Venda,São Luís/MA,Cohatrac,4,2,2,450000,Pereira Feitosa,23/06/2019
190,Casa,Venda,Paço do Lumiar/MA,Pindaí,2,0,2,120000,Pereira Feitosa,23/06/2019
191,Apartamento,Venda,São Luís/MA,Araçagi,2,0,1,200000,Pereira Feitosa,23/06/2019
192,Casa,Venda,São Luís/MA,COHAB Anil III,3,1,0,250000,Pereira Feitosa,23/06/2019
193,Casa,Venda,São Luís/MA,Olho D Água,4,4,0,1500000,Pereira Feitosa,23/06/2019
194,Casa,Venda,São José de Ribamar/MA,Jardim Aracagy,4,4,5,500000,Pereira Feitosa,23/06/2019
195,Casa,Venda,São Luís/MA,Araçagi,3,1,4,370000,Pereira Feitosa,23/06/2019
196,Apartamento,Venda,São Luís/MA,Maranhão Novo,2,0,1,160000,Pereira Feitosa,23/06/2019
197,Casa,Venda,São Luís/MA,Planalto Vinhais I,4,2,2,500000,Pereira Feitosa,23/06/2019
198,Casa,Venda,São José de Ribamar/MA,Araçagy,4,4,3,600000,Pereira Feitosa,23/06/2019
199,Apartamento,Venda,São Luís/MA,Bequimão,2,0,1,90000,Pereira Feitosa,23/06/2019
200,Casa,Venda,São Luís/MA,Monte Castelo,4,2,3,450000,Pereira Feitosa,23/06/2019
